label,batch,seqlen,heads,dim,bf16_output_rms,tk_fp4_ms,tk_fp4_tflops,tk_fp4_speedup_bf16,tk_fp4_cosine,tk_fp4_relative_l2,tk_fp4_rmse,hao_fp4_ms,hao_fp4_tflops,hao_fp4_speedup_bf16,tk_fp8_ms,tk_fp8_tflops,tk_fp8_speedup_bf16,tk_fp8_cosine,tk_fp8_relative_l2,tk_fp8_rmse,hao_fp8_ms,hao_fp8_tflops,hao_fp8_speedup_bf16,bf16_ms,bf16_tflops
b1_s1024_h12_d128,1,1024,12,128,0.05120547115802765,0.017055999487638474,377.72344849501417,3.206379035631171,0.9603525996208191,0.28685882687568665,0.01468874141573906,0.07894399762153625,81.60786301810577,0.6927442343505148,0.020479999482631683,314.5728079467776,2.6703125278532758,0.9551408290863037,0.2998987876930724,0.015356458723545074,0.06758400052785873,95.3250901645629,0.8091855877391737,0.054687999188899994,117.80374194614203
b1_s2048_h12_d128,1,2048,12,128,0.036621734499931335,0.02457600086927414,1048.5759629109714,2.632812445525059,0.9621304273605347,0.27869001030921936,0.010206111706793308,0.08739200234413147,294.8759964844825,0.7403881272232299,0.03276799991726875,786.4320019855498,1.9746094089728246,0.9563812017440796,0.2944349525134448,0.010782718658447266,0.07680000364780426,335.54430406250077,0.8424999723513624,0.06470400094985962,398.27218406431336
b1_s4096_h12_d128,1,4096,12,128,0.02603461593389511,0.0727040022611618,1417.7928573137783,1.5068221323556086,0.9625340700149536,0.27634310722351074,0.007194486912339926,0.13211199641227722,780.2411431458831,0.8292358203116981,0.1024319976568222,1006.3185084932754,1.0695095499843978,0.9570821523666382,0.2917152635701442,0.007594694849103689,0.1085439994931221,949.653740283742,1.009286558718454,0.10955199971795082,940.9158698096296
b1_s8192_h12_d128,1,8192,12,128,0.01814211532473564,0.19353599846363068,2130.440143896448,1.58085325194116,0.9624508023262024,0.2775286138057709,0.005034956149756908,0.3675200045108795,1121.889571602338,0.8324771680009406,0.2826560139656067,1458.7231123487445,1.0824181953409202,0.9567720293998718,0.2932839964459864,0.005320792086422443,0.305184006690979,1351.0434733675309,1.0025165337340518,0.3059520125389099,1347.6520614930193
b1_s16384_h12_d128,1,16384,12,128,0.012921947985887527,0.7355200052261353,2242.314865598976,1.46949095047009,0.9627162218093872,0.275938481092453,0.0035656625404953957,1.4107840061187744,1169.0431947845227,0.7661271937318254,1.0885440111160278,1515.113238253997,0.9929226384346093,0.9569175243377686,0.2923183920876614,0.003777323057875037,1.1786400079727173,1399.297012241058,0.9170229962145812,1.080839991569519,1525.9126739648584
b1_s32768_h12_d128,1,32768,12,128,0.009088038466870785,2.6644480228424072,2475.9611409564336,1.5693757463309264,0.9626051187515259,0.2768495976924896,0.00251601985655725,5.0771520137786865,1299.3642397849164,0.8235956089280365,3.959808111190796,1666.0074380907627,1.0559905901982698,0.9569594860076904,0.2924701228412146,0.002657979726791382,4.29260778427124,1536.8442909759085,0.9741211670281134,4.181520104408264,1577.6726171186413
b1_s256_h16_d128,1,256,16,128,0.10207188129425049,0.01027199998497963,52.26547048141031,5.239096580834847,0.9528863430023193,0.3170306384563446,0.03235991299152374,0.07161600142717361,7.496521745156976,0.7514521744748333,0.012319999746978283,43.57718531054986,4.368181907864225,0.9470541477203369,0.32873360128748796,0.03355445712804794,0.07275200262665749,7.379465755122484,0.7397184689995507,0.05381599999964237,9.976046380324956
b1_s1024_h16_d128,1,1024,16,128,0.051634281873703,0.016672000288963318,515.2311926053915,3.1554702017001555,0.9609120488166809,0.2841898500919342,0.014673938974738121,0.07134399935603142,120.40164091633315,0.7373850721772391,0.020479999482631683,419.4304105957034,2.5687500704858413,0.9553180932998657,0.2986427157747586,0.015420202165842056,0.06652799993753433,129.11758357481685,0.7907647932292535,0.05260800011456013,163.28190718701345
b1_s32768_h16_d128,1,32768,16,128,0.009056721813976765,3.469599962234497,2535.1893929993953,1.5071040092816679,0.9623643159866333,0.2778487205505371,0.002516398672014475,6.491040229797363,1355.1130035874999,0.8055793568622472,5.072432041168213,1734.097756424984,1.0308759134174326,0.9569488167762756,0.29273330645299783,0.0026512041222304106,5.533200025558472,1589.693663987902,0.9450314446493122,5.229048013687134,1682.1595439904274
b1_s32768_h24_d64,1,32768,24,64,,,,,,,,,,,,,,,,,8.13593578338623,810.8556830214134,0.7905391854108246,6.43177604675293,1025.6995453046782
b1_s1024_h24_d128,1,1024,24,128,0.051513489335775375,0.018271999433636665,705.1719728209036,4.000000203879729,0.9606332778930664,0.2853772044181824,0.01470077596604824,0.12297600135207176,104.7757427980718,0.5943273537622278,0.021824000403285027,590.4005521398597,3.3489736120438987,0.9550365209579468,0.29984172746881754,0.015445893630385399,0.0759039968252182,169.7526141827507,0.9629005654094138,0.07308800145983696,176.2929842195844
b1_s2048_h24_d128,1,2048,24,128,0.03659223020076752,0.04198399931192398,1227.6011908508704,1.5121951262795703,0.9616287350654602,0.28052639961242676,0.010265086777508259,0.08697599917650223,592.5727561624167,0.7299484885753224,0.05734400078654289,898.7794162435728,1.1071428269810435,0.9558659791946411,0.2962136905593316,0.010839119553565979,0.07766399905085564,663.6228906813185,0.8174701266624619,0.06348799914121628,811.8007851745416
b1_s4096_h24_d128,1,4096,24,128,0.025660540908575058,0.10339199751615524,1993.94958179222,1.5809347368700195,0.9617787599563599,0.27994394302368164,0.007183513138443232,0.19246400147676468,1071.1531955386918,0.8492808999785963,0.14748799800872803,1397.798010627278,1.1082664528268642,0.9566159248352051,0.29390064442098723,0.007541649509221315,0.15830400586128235,1302.2944623944086,1.032544940971998,0.1634560003876686,1261.2472452467578
