"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","derived__local_spilling_requests","gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","gpu__time_duration.avg","launch__barrier_count","launch__registers_per_thread","launch__shared_mem_per_block_static","sm__pipe_tc_cycles_active.avg.pct_of_peak_sustained_elapsed","sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed","smsp__average_warps_issue_stalled_barrier_per_issue_active.ratio","smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.ratio","smsp__average_warps_issue_stalled_wait_per_issue_active.ratio","smsp__issue_active.avg.pct_of_peak_sustained_active","smsp__warps_eligible.avg.per_cycle_active"
"","","","","","","","","","","","","%","%","us","","register/thread","Kbyte/block","%","%","inst","inst","inst","%","warp"
"0","2032260","python3.12","127.0.0.1","void kernel_streaming_live_fp4pv<config_fp4pv_3wg_dual_score_direct_pscale_scorepack_prescaled_floor_x1sc_fusedmax_qkscfix_diagzero_prepub_earlyreuse_arrivereuse_pscreusefold_skippscarrive_dualaccum_directrescale_decoupled_pstage2_pregs_force_persistent<128, 128, 192, 128, 200, 56, 112, 1>, 1, (int)-1, 0, 1>(conditional<T5, globals_fp4pv_mxfp4_dv<T1, T2>, globals_fp4pv<T1, T2||!1>>::type, int, int, int)","1","7","(384, 1, 1)","(512, 1, 1)","0","10.0","0","11.143116","1.261875","155.392000","2","168","1.904000","15.008326","7.157046","0.207598","3.639997","1.608427","36.134224","0.417768"
