seqlen,format,probability_cosine,probability_relative_l2,output_cosine,output_relative_l2,zero_payload_fraction,zeroed_probability_mass,zero_scale_block_fraction,minimum_nonzero_scale
1024,NVFP4 G=1,0.7035395503044128,1.7151563167572021,0.7008187770843506,1.6854416131973267,0.8318290710449219,0.6837731003761292,0.706298828125,0.001953125
1024,NVFP4 G=448,0.9937470555305481,0.11440786719322205,0.993854284286499,0.1136869490146637,0.15541839599609375,0.029314376413822174,0.0,0.00020926340948790312
1024,MXFP4,0.9896482229232788,0.14638009667396545,0.9898464679718018,0.1449442058801651,0.18868255615234375,0.0401778370141983,0.0,0.000244140625
4096,NVFP4 G=1,0.2106621116399765,13.815642356872559,0.21732832491397858,13.87689208984375,0.9994382858276367,0.9943318367004395,0.996063232421875,0.001953125
4096,NVFP4 G=448,0.9937771558761597,0.11409084498882294,0.9937469363212585,0.1145821362733841,0.15645408630371094,0.029759641736745834,0.0,4.3596541217993945e-05
4096,MXFP4,0.9895344972610474,0.1472092568874359,0.9893382787704468,0.14871621131896973,0.18975543975830078,0.04049413278698921,0.0,6.103515625e-05
8192,NVFP4 G=1,0.10379281640052795,12.467307090759277,0.09677422046661377,12.38923168182373,0.9999771118164062,0.9992843866348267,0.9996337890625,0.001953125
8192,NVFP4 G=448,0.9937243461608887,0.11472505331039429,0.9938405752182007,0.11366003006696701,0.1606130599975586,0.030690765008330345,0.0,2.1798270608996972e-05
8192,MXFP4,0.9895232915878296,0.1473182588815689,0.9896600246429443,0.1462365835905075,0.19418859481811523,0.041630446910858154,0.0,3.0517578125e-05
