"Kernel Name","void tkfa4::bwd_cute16_kernel_candidate::detail::main_kernel_causal_cta2_fused_dense_role_split<(bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)0, (bool)1, (bool)1, (bool)1, __nv_bfloat16, (bool)1, (bool)0, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (int)64, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)0, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)0, (int)-1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)0, (bool)1, (bool)0, (bool)1, (bool)1, (bool)1, (bool)1, (bool)0, (bool)0, (bool)1, (bool)0, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)0, (bool)0, (bool)1, (bool)0, (int)0, (bool)0, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (int)5, (bool)1, (bool)1>(tkfa4::bwd_cute16_kernel_candidate::detail::cta2_fused_dense_globals_t<T18, T25, T114>)",
"Address","Source","Warp Stall Sampling (All Samples)","Warp Stall Sampling (Not-issued Samples)","# Samples","Instructions Executed","Thread Instructions Executed","Predicated-On Thread Instructions Executed","Avg. Threads Executed","Avg. Predicated-On Threads Executed","Derivative Avg. Predicated-On Threads Executed","Avg. Predicated-On Threads Unexecuted","Divergent Branches","Address Space","Access Operation","Access Size","L1 Tag Requests Global","L1 Conflicts Shared N-Way","L1 Wavefronts Shared Excessive","L1 Wavefronts Shared","L1 Wavefronts Shared Ideal","L2 Theoretical Sectors Global Excessive","L2 Theoretical Sectors Global","L2 Theoretical Sectors Global Ideal","L2 Theoretical Sectors Local","L2 Explicit Evict Policies","L2 Explicit Hit Policy Evict First","L2 Explicit Hit Policy Evict Last","L2 Explicit Hit Policy Evict Normal","L2 Explicit Hit Policy Evict Normal Demote","L2 Explicit Miss Policy Evict First","L2 Explicit Miss Policy Evict Normal","stall_barrier","stall_branch_resolving","stall_dispatch","stall_drain","stall_lg","stall_long_sb","stall_math","stall_membar","stall_mio","stall_misc","stall_no_inst","stall_not_selected","stall_selected","stall_short_sb","stall_sleep","stall_tex","stall_wait","stall_barrier (Not Issued)","stall_branch_resolving (Not Issued)","stall_dispatch (Not Issued)","stall_drain (Not Issued)","stall_lg (Not Issued)","stall_long_sb (Not Issued)","stall_math (Not Issued)","stall_membar (Not Issued)","stall_mio (Not Issued)","stall_misc (Not Issued)","stall_no_inst (Not Issued)","stall_not_selected (Not Issued)","stall_selected (Not Issued)","stall_short_sb (Not Issued)","stall_sleeping (Not Issued)","stall_tex (Not Issued)","stall_wait (Not Issued)"
"0xfffbb15d8fa0","      LOP3.LUT P0, RZ, R0, 0x1f, RZ, 0xc0, !PT","0","0","0","8192","262144","262144","32","32","0","0","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0xfffbb15d8fb0","      SHF.R.U32.HI R77, RZ, 0x5, R0","0","0","0","8192","262144","262144","32","32","0","0","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0xfffbb15d8fc0","      LOP3.LUT R69, R0, 0x1f, RZ, 0xc0, !PT","1","0","1","8192","262144","262144","32","32","0","0","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0xfffbb15d8fd0","      ISETP.NE.OR P0, PT, R77, 0xd, P0","0","0","0","8192","262144","262144","32","32","0","0","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0xfffbb15d8fe0","      LOP3.LUT R33, R77, 0x7, RZ, 0xc0, !PT","1","1","1","8192","262144","262144","32","32","0","0","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"0xfffbb15d8ff0","@P0   BRA 0xfffbb15d9b60","9","8","9","8192","262144","261632","32","31","1","1","512","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","1"
"0xfffbb15d9000","      LDC.64 R4, c[0x0][0x348]","0","0","0","512","512","512","1","1","30","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0xfffbb15d9010","      UMOV UR6, 0x1","0","0","0","512","512","512","1","1","0","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0xfffbb15d9020","      UMOV UR8, 0x2","0","0","0","512","512","512","1","1","0","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0xfffbb15d9030","      UIADD3 UR6, UPT, UPT, -UR6, 0x100000, URZ","0","0","0","512","512","512","1","1","0","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0xfffbb15d9040","      USHF.L.U32 UR7, UR6, 0xb, URZ","0","0","0","512","512","512","1","1","0","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0xfffbb15d9050","      USHF.L.U32 UR6, UR6, 0x1, URZ","0","0","0","512","512","512","1","1","0","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0xfffbb15d9060","      UIADD3 UR8, UPT, UPT, -UR8, 0x100000, URZ","0","0","0","512","512","512","1","1","0","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0xfffbb15d9070","      USHF.L.U32 UR9, UR8, 0xb, URZ","0","0","0","512","512","512","1","1","0","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0xfffbb15d9080","      USHF.L.U32 UR8, UR8, 0x1, URZ","0","0","0","512","512","512","1","1","0","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0xfffbb15d9090","      UMOV UR10, 0x4","0","0","0","512","512","512","1","1","0","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0xfffbb15d90a0","      S2UR UR28, SR_CgaCtaId","0","0","0","512","512","512","1","1","0","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0xfffbb15d90b0","      UMOV UR4, 0x8","0","0","0","512","512","512","1","1","0","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0xfffbb15d90c0","      UIADD3 UR10, UPT, UPT, -UR10, 0x100000, URZ","0","0","0","512","512","512","1","1","0","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0xfffbb15d90d0","      USHF.L.U32 UR11, UR10, 0xb, URZ","0","0","0","512","512","512","1","1","0","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0xfffbb15d90e0","      USHF.L.U32 UR10, UR10, 0x1, URZ","0","0","0","512","512","512","1","1","0","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0xfffbb15d90f0","      UIADD3 UR4, UPT, UPT, -UR4, 0x100000, URZ","0","0","0","512","512","512","1","1","0","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0xfffbb15d9100","      USHF.L.U32 UR5, UR4, 0xb, URZ","0","0","0","512","512","512","1","1","0","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0xfffbb15d9110","      USHF.L.U32 UR4, UR4, 0x1, URZ","0","0","0","512","512","512","1","1","0","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0xfffbb15d9120","      UMOV UR12, 0x5","1","0","1","512","512","512","1","1","0","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0xfffbb15d9130","      UIADD3 UR12, UPT, UPT, -UR12, 0x100000, URZ","0","0","0","512","512","512","1","1","0","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0xfffbb15d9140","      USHF.L.U32 UR13, UR12, 0xb, URZ","0","0","0","512","512","512","1","1","0","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0xfffbb15d9150","      USHF.L.U32 UR12, UR12, 0x1, URZ","0","0","0","512","512","512","1","1","0","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0xfffbb15d9160","      IADD3 R6, P5, PT, R4, 0x1600, RZ","0","0","0","512","512","512","1","1","0","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0xfffbb15d9170","      IADD3 R2, P6, PT, R4, 0x1180, RZ","0","0","0","512","512","512","1","1","0","31","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
