heads,seqlen,mxfp4_launch_mode,tk_bf16_launch_mode,mxfp4_ms,tk_bf16_ms,cute_dsl_fa4_bf16_ms,speedup_mxfp4_over_tk_bf16,speedup_mxfp4_over_cute_dsl_fa4_bf16,ratio_mxfp4_vs_tk_bf16,ratio_mxfp4_vs_cute_dsl_fa4_bf16,cute_dsl_fa4_bf16_error
4,1024,persistent,persistent,0.03372799977660179,0.04528000019490719,0.1539199948310852,1.342504758503924,4.5635672394028095,0.7448763169483225,0.21912682503410655,
4,2048,persistent,persistent,0.05353600159287453,0.07310399785637856,0.17896000295877457,1.3655109773104248,3.3427973258016634,0.7323265917419773,0.2991506521443629,
4,4096,persistent,fullgrid,0.08828800171613693,0.12281599640846252,0.21676799654960632,1.3910836582680826,2.455237318050957,0.7188640266574715,0.4072926037120643,
4,8192,persistent,fullgrid,0.15695999562740326,0.22364799678325653,0.3248479962348938,1.4248725982011328,2.069622867510958,0.7018171317649562,0.4831798177813211,
4,16384,fullgrid,fullgrid,0.5234400033950806,0.4228000044822693,0.48025600612163544,0.8077334589254721,0.9174996236562936,1.2380321614141132,1.0899187031978688,
8,2048,persistent,persistent,0.05486400052905083,0.07435199990868568,0.18982400000095367,1.3552055845675315,3.459900812381348,0.7378954244194001,0.2890256265212786,
8,4096,persistent,fullgrid,0.08854400366544724,0.12476799637079239,0.22881600260734558,1.4091072371451951,2.584206644550421,0.7096691959555662,0.38696595804704764,
8,8192,fullgrid,fullgrid,0.2803039997816086,0.22380800545215607,0.32918399572372437,0.7984474200387084,1.1743820850940383,1.2524306233609226,0.8515116270016374,
16,1024,persistent,persistent,0.035232000052928925,0.04601600021123886,0.15488000214099884,1.306085380963589,4.396003687225337,0.7656467292071145,0.22747933604013384,
16,2048,persistent,persistent,0.0599839985370636,0.07526399940252304,0.2003520056605339,1.2547346165330753,3.3400908666790214,0.7969812794063769,0.299393052439402,
16,4096,persistent,fullgrid,0.15964800119400024,0.14009599387645721,0.22846399992704391,0.8775305223284072,1.4310482951140753,1.1395615019140721,0.6987884360117179,
16,8192,fullgrid,fullgrid,0.5339039862155914,0.4285759925842285,0.4749760031700134,0.8027210952704308,0.8896281268411755,1.2457627012569135,1.1240651794033587,
16,16384,fullgrid,fullgrid,1.9630399942398071,1.5029759407043457,1.3177760243415833,0.7656369432688902,0.6712935183227868,1.3061020746079672,1.4896613369640148,
