label,gpu__time_duration.avg,sm__throughput.avg.pct_of_peak_sustained_elapsed,sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed,sm__pipe_tc_cycles_active.avg.pct_of_peak_sustained_elapsed,sm__issue_active.avg.pct_of_peak_sustained_elapsed,smsp__issue_active.avg.pct_of_peak_sustained_active,smsp__warps_eligible.avg.per_cycle_active,smsp__average_warps_issue_stalled_barrier_per_issue_active.ratio,smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.ratio,smsp__average_warps_issue_stalled_wait_per_issue_active.ratio,smsp__average_warps_issue_stalled_no_instruction_per_issue_active.ratio,launch__registers_per_thread,launch__shared_mem_per_block_dynamic,launch__shared_mem_per_block_static,profiler__replayer_passes,Kernel Name,csv
opt3_stage0_gpu2,111840,25.70,2.72,25.70,9.95,12.39,0.19,31.52,5.23,2.64,1.25,51,22528,144,16,"void kernel_mxfp4_joint_qk_pv_quarter_debug<config_mxfp4_joint_qk_pv_quarter_debug<128, 4, 3>>(globals_mxfp4_joint_qk_pv_quarter_debug<T1>)",results/mxfp4_fa4_forward_recover_20260617/joint_qk_pv_quarter_opt_20260620/ncu_lever3_hoist_sourcewait/q4_opt3_stage0_rows65536_gpu2.csv
opt3_stage6_gpu2,108608,24.68,1.42,24.68,10.20,12.51,0.19,30.66,5.22,2.62,1.34,51,22528,144,16,"void kernel_mxfp4_joint_qk_pv_quarter_debug<config_mxfp4_joint_qk_pv_quarter_debug<128, 4, 3>>(globals_mxfp4_joint_qk_pv_quarter_debug<T1>)",results/mxfp4_fa4_forward_recover_20260617/joint_qk_pv_quarter_opt_20260620/ncu_lever3_hoist_sourcewait/q4_opt3_stage6_rows65536_gpu2.csv
