label,gpu__time_duration.avg,sm__throughput.avg.pct_of_peak_sustained_elapsed,sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed,sm__pipe_tc_cycles_active.avg.pct_of_peak_sustained_elapsed,sm__issue_active.avg.pct_of_peak_sustained_elapsed,smsp__issue_active.avg.pct_of_peak_sustained_active,smsp__warps_eligible.avg.per_cycle_active,smsp__average_warps_issue_stalled_barrier_per_issue_active.ratio,smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.ratio,smsp__average_warps_issue_stalled_wait_per_issue_active.ratio,smsp__average_warps_issue_stalled_no_instruction_per_issue_active.ratio,launch__registers_per_thread,launch__shared_mem_per_block_dynamic,launch__shared_mem_per_block_static,profiler__replayer_passes,Kernel Name,csv
opt2_stage0_clean_gpu2,93536,19.22,3.26,19.22,10.79,13.39,0.21,25.77,5.80,2.43,1.47,51,22528,144,16,"void kernel_mxfp4_joint_qk_pv_quarter_debug<config_mxfp4_joint_qk_pv_quarter_debug<128, 4, 2>>(globals_mxfp4_joint_qk_pv_quarter_debug<T1>)",results/mxfp4_fa4_forward_recover_20260617/joint_qk_pv_quarter_opt_20260620/ncu_lever6_full_nostore/q4_opt2_stage0_rows65536_gpu2.csv
opt2_stage7_nostore_gpu2,63392,28.41,4.82,28.41,14.53,18.29,0.30,26.38,2.26,2.61,1.26,51,22528,144,16,"void kernel_mxfp4_joint_qk_pv_quarter_debug<config_mxfp4_joint_qk_pv_quarter_debug<128, 4, 2>>(globals_mxfp4_joint_qk_pv_quarter_debug<T1>)",results/mxfp4_fa4_forward_recover_20260617/joint_qk_pv_quarter_opt_20260620/ncu_lever6_full_nostore/q4_opt2_stage7_rows65536_gpu2.csv
