label,gpu__time_duration.avg,sm__throughput.avg.pct_of_peak_sustained_elapsed,sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed,sm__pipe_tc_cycles_active.avg.pct_of_peak_sustained_elapsed,sm__issue_active.avg.pct_of_peak_sustained_elapsed,smsp__issue_active.avg.pct_of_peak_sustained_active,smsp__warps_eligible.avg.per_cycle_active,smsp__average_warps_issue_stalled_barrier_per_issue_active.ratio,smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.ratio,smsp__average_warps_issue_stalled_wait_per_issue_active.ratio,smsp__average_warps_issue_stalled_no_instruction_per_issue_active.ratio,launch__registers_per_thread,launch__shared_mem_per_block_dynamic,launch__shared_mem_per_block_static,profiler__replayer_passes,Kernel Name,csv
opt1_stage0,108960,24.25,2.82,24.25,10.46,12.98,0.21,29.30,4.99,2.54,1.40,64,22528,144,16,"void kernel_mxfp4_joint_qk_pv_quarter_debug<config_mxfp4_joint_qk_pv_quarter_debug<128, 4, 1>>(globals_mxfp4_joint_qk_pv_quarter_debug<T1>)",results/mxfp4_fa4_forward_recover_20260617/joint_qk_pv_quarter_opt_20260620/ncu_lever1_sourcewait/q4_opt1_stage0_rows65536.csv
opt1_stage6,104928,23.12,1.45,23.12,10.60,13.09,0.21,28.58,4.96,2.54,1.49,64,22528,144,16,"void kernel_mxfp4_joint_qk_pv_quarter_debug<config_mxfp4_joint_qk_pv_quarter_debug<128, 4, 1>>(globals_mxfp4_joint_qk_pv_quarter_debug<T1>)",results/mxfp4_fa4_forward_recover_20260617/joint_qk_pv_quarter_opt_20260620/ncu_lever1_sourcewait/q4_opt1_stage6_rows65536.csv
