provider,speedup,masked_psnr_db,psnr_delta_db,psnr_delta_ci95_db,masked_normalized_mse,masked_mse_delta_percent,reconstruction_cosine,reconstruction_relative_l2,mean_layer_cosine,mean_layer_relative_l2,all_outputs_finite
BF16,1.0,23.916500148773192,0.0,0.0,0.2839766021072865,0.0,1.0,0.0,1.0,0.0,True
HAO NV/FP8,0.9987012888347616,23.90967819213867,-0.0068219566345214845,0.0124045870362141,0.2844237222522497,0.15744964255692828,0.9999513810873032,0.008865444283001124,0.9938086979587872,0.10455111417298517,True
HAO NV/NV,0.8582589231336016,23.906187496185304,-0.010312652587890625,0.014548206255769913,0.2841822225600481,0.072407533309371,0.9999232816696167,0.011311603295616805,0.9867723453541597,0.15894555338347952,True
TK NV/MX accurate,1.0065445143850635,23.892845230102537,-0.023654918670654296,0.021020597137519925,0.2846769616752863,0.2466258004366173,0.9997791504859924,0.01843277021776885,0.9676489359140397,0.26156748976558447,True
TK NV/MX fast,1.1686930097907409,23.896273956298828,-0.020226192474365235,0.025568751738335012,0.284806344024837,0.2921867193963479,0.9997311931848526,0.020326686282642184,0.9600270084540049,0.2927866245061159,True
