stage,gpu__time_duration.avg,sm__throughput.avg.pct_of_peak_sustained_elapsed,sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed,sm__pipe_tc_cycles_active.avg.pct_of_peak_sustained_elapsed,sm__issue_active.avg.pct_of_peak_sustained_elapsed,smsp__issue_active.avg.pct_of_peak_sustained_active,smsp__warps_eligible.avg.per_cycle_active,smsp__average_warps_issue_stalled_barrier_per_issue_active.ratio,smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.ratio,smsp__average_warps_issue_stalled_wait_per_issue_active.ratio,smsp__average_warps_issue_stalled_no_instruction_per_issue_active.ratio,launch__registers_per_thread,launch__shared_mem_per_block_dynamic,launch__shared_mem_per_block_static,profiler__replayer_passes,Kernel Name,csv
0,105120.0,24.78,2.89,24.78,10.61,13.05,0.21,28.96,5.02,2.52,1.28,64.0,22528.0,144.0,16.0,"void kernel_mxfp4_joint_qk_pv_quarter_debug<config_mxfp4_joint_qk_pv_quarter_debug<128, 4>>(globals_mxfp4_joint_qk_pv_quarter_debug<T1>)",results/mxfp4_fa4_forward_recover_20260617/joint_qk_pv_quartering_20260620/ncu_joint_quarter_final/q4_stage0_rows65536.csv
6,103808.0,23.26,1.47,23.26,10.64,13.14,0.21,28.37,5.01,2.51,1.36,64.0,22528.0,144.0,16.0,"void kernel_mxfp4_joint_qk_pv_quarter_debug<config_mxfp4_joint_qk_pv_quarter_debug<128, 4>>(globals_mxfp4_joint_qk_pv_quarter_debug<T1>)",results/mxfp4_fa4_forward_recover_20260617/joint_qk_pv_quartering_20260620/ncu_joint_quarter_final/q4_stage6_rows65536.csv
